area_m2,precio,banios,alcobas,nombre_cliente,precio_estimado
128,204800000,1,4,Isabella Rodriguez Herrera,260168658.44
95,114000000,1,3,Samuel Quintero Garcia,193361795.68
114,228000000,1,2,Sofia Arboleda Montoya,232304898.8
152,228000000,1,3,Isabella Castro Cifuentes,309280027.51
114,228000000,1,4,Antonia Gomez Jaramillo,231697513.78
152,228000000,1,4,Nicolás Gomez Gonzalez,308976335.0
114,228000000,1,1,Sebastian Valencia Quintero,232608591.31
114,228000000,1,2,Laura Martinez Garcia,232304898.8
114,228000000,1,3,Marcela Hernandez Mendoza,232001206.29
190,228000000,1,4,Nicolás Arrieta Mendoza,386255156.22
114,228000000,1,3,Sebastian Arboleda Villa,232001206.29
114,228000000,1,2,Santiago Quintero Guerrero,232304898.8
114,228000000,1,1,Samuel Martinez Ramirez,232608591.31
152,456000000,1,2,Santiago Lopez Salazar,309583720.02
114,456000000,1,1,Andres Uribe Salazar,232608591.31
114,456000000,1,4,Valentina Uribe Restrepo,231697513.78
152,456000000,1,2,Sebastian Uribe Cifuentes,309583720.02
152,456000000,1,3,Juliana Diaz Osorio,309280027.51
98,137200000,1,3,Marcela Perez Restrepo,199462755.25
98,137200000,1,2,Maria Quintero Cifuentes,199766447.76
196,274400000,1,2,Antonia Castillo Guerrero,399064460.39
98,274400000,1,4,Marcela Castro Herrera,199159062.74
98,274400000,1,3,Carlos Lopez Herrera,199462755.25
196,548800000,1,3,Antonia Arboleda Cifuentes,398760767.88
124,148800000,1,4,Camila Arrieta Jaramillo,252034045.68
124,148800000,1,2,Juan Arrieta Mendoza,252641430.7
186,297600000,1,2,Laura Ortiz Restrepo,378727928.48
157,251200000,1,1,David Martinez Jaramillo,320055678.48
157,251200000,1,3,David Castro Cifuentes,319448293.46
146,262800000,1,4,Juliana Fernandez Munoz,296774415.86
146,262800000,1,2,Andres Velez Villa,297381800.88
146,262800000,1,2,Sebastian Uribe Cifuentes,297381800.88
86,172000000,1,3,Carolina Jimenez Herrera,175058916.97
86,172000000,1,1,Juan Arrieta Herrera,175666301.99
86,172000000,1,1,Nicole Cardenas Restrepo,175666301.99
86,172000000,1,2,Ana Perez Osorio,175362609.48
86,172000000,1,2,David Restrepo Jaramillo,175362609.48
172,344000000,1,4,Maria Martinez Montoya,349649398.8
172,344000000,1,3,Juan Martinez Osorio,349953091.31
172,344000000,1,3,Marcela Velez Restrepo,349953091.31
172,344000000,1,1,Diego Uribe Ramirez,350560476.33
172,344000000,1,1,Camila Martinez Jaramillo,350560476.33
172,344000000,1,2,Lucas Cardenas Martinez,350256783.82
172,344000000,1,1,Sofia Restrepo Ramirez,350560476.33
86,344000000,1,3,Nicolás Martinez Mendoza,175058916.97
86,344000000,1,3,Sebastian Arrieta Salazar,175058916.97
172,688000000,1,1,Carolina Arboleda Herrera,350560476.33
153,183600000,1,1,Sebastian Velez Quintero,311921065.72
102,183600000,1,3,Isabella Restrepo Guerrero,207597368.01
102,183600000,1,4,Sebastian Torres Cifuentes,207293675.5
102,183600000,1,2,Santiago Quintero Lopez,207901060.52
108,183600000,1,3,Sofia Patino Jaramillo,219799287.15
102,183600000,1,4,Sebastian Gomez Jaramillo,207293675.5
102,183600000,1,1,David Uribe Villa,208204753.03
122,195200000,1,4,Carlos Fernandez Gonzalez,247966739.3
122,195200000,1,1,Diego Castillo Martinez,248877816.83
122,195200000,1,1,Isabella Moreno Herrera,248877816.83
94,103400000,1,1,Maria Alvarez Munoz,191935527.51
94,103400000,1,1,David Hernandez Garcia,191935527.51
94,206800000,1,1,Nicolás Castillo Henao,191935527.51
94,206800000,1,1,Camila Hernandez Restrepo,191935527.51
94,206800000,1,1,Valentina Castillo Martinez,191935527.51
188,413600000,1,4,Diego Quintero Ramirez,382187849.84
84,109200000,1,2,Samuel Torres Henao,171295303.1
91,109200000,1,2,Nicole Lopez Ramirez,185530875.43
84,109200000,1,2,Juan Perez Jaramillo,171295303.1
84,109200000,1,3,Andres Restrepo Restrepo,170991610.59
91,109200000,1,1,Marcela Martinez Acosta,185834567.94
84,109200000,1,3,Laura Arboleda Botero,170991610.59
91,109200000,1,1,Nicole Patino Garcia,185834567.94
84,109200000,1,4,Samuel Martinez Lopez,170687918.08
168,218400000,1,4,Ana Uribe Osorio,341514786.04
182,218400000,1,4,Mateo Gomez Botero,369985930.7
168,218400000,1,3,Marcela Castillo Ramirez,341818478.55
156,218400000,1,4,Laura Jimenez Villa,317110947.76
182,218400000,1,4,Sara Prieto Jaramillo,369985930.7
156,218400000,1,1,Sara Patino Acosta,318022025.29
156,436800000,1,2,Maria Diaz Montoya,317718332.78
115,230000000,1,4,Carlos Ortiz Acosta,233731166.97
115,230000000,1,1,Juliana Cardenas Mendoza,234642244.5
92,230000000,1,1,Sara Patino Martinez,187868221.13
115,230000000,1,4,Lucas Fernandez Ramirez,233731166.97
115,230000000,1,4,Ana Patino Guerrero,233731166.97
115,230000000,1,3,Carlos Quintero Jaramillo,234034859.48
92,230000000,1,3,Laura Patino Gonzalez,187260836.11
115,230000000,1,3,Ana Castillo Osorio,234034859.48
184,460000000,1,3,Lucas Hernandez Herrera,374356929.59
184,460000000,1,3,Andres Cardenas Gonzalez,374356929.59
116,139200000,1,1,Daniel Moreno Montoya,236675897.69
